Symbol,Desc,insCode,insID,groupCode
كطبس,ذغال‌سنگ‌ نگين‌ ط‌بس‌,8977369674477111,IRO1TBAS0001,10 
فسپا,گروه‌صنعتي‌سپاهان‌,8977441217024425,IRO1SEPA0001,27 
شهر,گروه مالي شهر,9098178887955847,IRO1GMSH0001,56 
وايرا,سرمايه گذاري صنايع ايران,9141577977527107,IRO7VIRP0001,56 
پارسيان,بيمه پارسيان,9481703061634967,IRO1IPAR0001,66 
وپاسار,بانك  پاسارگاد,9536587154100457,IRO1BPAS0001,57 
كپارس,كاشي‌ پارس‌,9698674686691945,IRO1KPRS0001,49 
وشمال,س. چشم انداز توسعه شمال,9761381741308262,IRO7SHOP0001,56 
آبين,كشت و صنعت آبشيرين,9987529074833218,IRO7ABYP0001,01 
زگلدشت,كشت و دام گلدشت نمونه اصفهان,10024128313803797,IRO3GDSZ0001,01 
وملت,سرمايه گذاري ملت,10055255678920880,IRO7MIVP0001,56 
گدنا,تهيه توزيع غذاي دنا آفرين فدك,10114441830266109,IRO3DCAZ0001,55 
پسهند,صنايع‌ لاستيكي‌  سهند,10120557300120078,IRO1SHND0001,25 
سيتا,سرمايه گذاري سيمان تامين,10171945867136336,IRO1SITA0001,53 
انتخاب,گروه انتخاب الكترونيك آرمان,10236455588057352,IRO3EELZ0001,29 
ناما,توليدي مخازن گازطبيعي آسياناما,10411249540376641,IRO3NAMZ0001,34 
سصفها,سيمان‌اصفهان‌,10568944722570445,IRO1SEFH0001,53 
كابگن,توليدي و صنعتي آبگينه‌,10654052153538617,IRO7ABGP0001,54 
قاروم,قند اروميه,10831074117626896,IRO7GHUP0001,38 
نبروج,نساجي بروجرد,10843114830116591,IRO7BRTP0001,17 
تملت,تامين سرمايه بانك ملت,11129387075131725,IRO1TMLT0001,67 
وسكاب,س.ص.بازنشستگي كاركنان بانكها,11258722998911897,IRO1SKBV0001,56 
ولملت,واسپاري ملت,11403770140000603,IRO1VLMT0001,58 
دسينا,داروسازي‌ سينا,11432067920374603,IRO1DSIN0001,43 
وپسا,س. پتروشيمي ساختمان  خليج فارس,11560002870991149,IRO7PGIP0001,45 
شپاكسا,پاكسان‌,11622051128546106,IRO1PAKS0001,44 
وبيمه,سرمايه‌ گذاري‌ صنعت‌ بيمه‌,11773403764702778,IRO1BIME0001,56 
سرود,سيمان‌شاهرود,11964419322927535,IRO1SROD0001,53 
زنجان,صنايع كشاورزي وكود زنجان,12303918642491681,IRO7ZNJP0001,44 
چدن,توليدي چدن سازان,12329519546621752,IRO1CHDN0001,28 
داسوه,داروسازي‌ اسوه‌,12387472624849835,IRO1DOSE0001,43 
مديريت,س. و خدمات مديريت صند. ب كشوري,12490072956930435,IRO3ISMZ0001,56 
پخش,پخش البرز,12638840758449459,IRO3PKSH0001,43 
بهپاك,صنعتي بهپاك,12746730665870442,IRO3BHPZ0001,42 
خريخت,صنايع‌ريخته‌گري‌ايران‌,12752224677923341,IRO1RIIR0001,34 
وحكمت,بيمه حكمت صبا,12777578088653944,IRO7HSIP0001,66 
